Year,ClimateEvent,Label,Value
1993,Sea Level Rise,Sea Height Variation (mm),-34.50756757
1994,Sea Level Rise,Sea Height Variation (mm),-30.53243243
1995,Sea Level Rise,Sea Height Variation (mm),-27.35918919
1996,Sea Level Rise,Sea Height Variation (mm),-25.28861111
1997,Sea Level Rise,Sea Height Variation (mm),-21.25486486
1998,Sea Level Rise,Sea Height Variation (mm),-23.63405405
1999,Sea Level Rise,Sea Height Variation (mm),-20.02702703
2000,Sea Level Rise,Sea Height Variation (mm),-16.77810811
2001,Sea Level Rise,Sea Height Variation (mm),-11.20324324
2002,Sea Level Rise,Sea Height Variation (mm),-7.07
2003,Sea Level Rise,Sea Height Variation (mm),-3.705945946
2004,Sea Level Rise,Sea Height Variation (mm),-1.745135135
2005,Sea Level Rise,Sea Height Variation (mm),3.045945946
2006,Sea Level Rise,Sea Height Variation (mm),4.394166667
2007,Sea Level Rise,Sea Height Variation (mm),5.102432432
2008,Sea Level Rise,Sea Height Variation (mm),7.278611111
2009,Sea Level Rise,Sea Height Variation (mm),12.38297297
2010,Sea Level Rise,Sea Height Variation (mm),13.68216216
2011,Sea Level Rise,Sea Height Variation (mm),13.02756757
2012,Sea Level Rise,Sea Height Variation (mm),23.9172973
2013,Sea Level Rise,Sea Height Variation (mm),26.33621622
2014,Sea Level Rise,Sea Height Variation (mm),29.98666667
2015,Sea Level Rise,Sea Height Variation (mm),40.97297297
2016,Sea Level Rise,Sea Height Variation (mm),43.23837838
2017,Sea Level Rise,Sea Height Variation (mm),44.34486486
2018,Sea Level Rise,Sea Height Variation (mm),48.67135135
2019,Sea Level Rise,Sea Height Variation (mm),55.63972973
2020,Sea Level Rise,Sea Height Variation (mm),56.57083333
1880,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.08
1881,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.12
1882,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.16
1883,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.2
1884,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.23
1885,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.26
1886,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.27
1887,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.27
1888,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.26
1889,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.25
1890,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.25
1891,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.25
1892,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.26
1893,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.26
1894,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.24
1895,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.22
1896,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.2
1897,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.18
1898,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.16
1899,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.17
1900,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.2
1901,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.23
1902,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.25
1903,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.28
1904,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.31
1905,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.33
1906,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.36
1907,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.37
1908,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.39
1909,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.41
1910,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.41
1911,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.39
1912,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.35
1913,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.32
1914,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.31
1915,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.3
1916,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.29
1917,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.29
1918,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.3
1919,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.29
1920,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.28
1921,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.26
1922,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.25
1923,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.24
1924,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.23
1925,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.22
1926,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.22
1927,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.21
1928,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.2
1929,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.19
1930,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.19
1931,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.19
1932,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.18
1933,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.17
1934,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.16
1935,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.14
1936,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.11
1937,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1938,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.02
1939,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.03
1940,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.06
1941,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.09
1942,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.1
1943,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.1
1944,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.07
1945,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.04
1946,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1947,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.04
1948,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1949,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.08
1950,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.08
1951,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1952,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1953,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1954,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.07
1955,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.06
1956,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.05
1957,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.04
1958,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.01
1959,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.01
1960,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.03
1961,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.01
1962,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.01
1963,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.03
1964,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.04
1965,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.05
1966,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.06
1967,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.05
1968,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.03
1969,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),-0.02
1970,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1971,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1972,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1973,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1974,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0
1975,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.02
1976,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.04
1977,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.07
1978,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.12
1979,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.16
1980,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.2
1981,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.21
1982,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.21
1983,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.21
1984,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.21
1985,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.22
1986,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.24
1987,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.27
1988,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.31
1989,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.33
1990,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.33
1991,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.33
1992,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.33
1993,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.33
1994,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.34
1995,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.37
1996,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.4
1997,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.42
1998,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.44
1999,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.47
2000,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.5
2001,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.52
2002,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.55
2003,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.59
2004,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.61
2005,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.62
2006,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.63
2007,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.64
2008,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.64
2009,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.65
2010,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.65
2011,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.67
2012,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.7
2013,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.74
2014,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.79
2015,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.83
2016,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.88
2017,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.91
2018,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.95
2019,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),0.98
2020,Global Land-Ocean Temperature Index,Temperature Anomaly (Celsius),1.01
1862,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),287.17
1863,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),285.35
1864,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),286.65
1867,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),285.05
1868,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),288.76
1870,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),287.16
1873,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),286.66
1874,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),291.56
1877,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),289.33
1880,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),287.77
1883,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),292.46
1884,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),289.49
1886,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),288.12
1887,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),294.34
1889,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),292.34
1890,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),290.92
1892,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),295.17
1893,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),295.09
1894,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),293.49
1899,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),296.16
1900,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),294.22
1902,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),295.61
1904,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),295.99
1905,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),299.02
1906,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),298.48
1909,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),301.5
1910,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),297.87
1911,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),298.36
1913,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),301.3
1914,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),300.7
1916,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),301.92
1918,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),303.85
1919,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),304.61
1920,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),301.88
1923,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),304.69
1925,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),304.84
1928,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),306.84
1929,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),305.62
1931,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),305.74
1932,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),308.26
1933,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),307.11
1934,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),308.35
1935,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),306.32
1936,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),308.3
1937,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),307.41
1938,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),311.07
1939,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),310.83
1940,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),310.38
1941,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),309.77
1942,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.37
1944,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.36
1945,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),310.94
1946,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.26
1947,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),311.61
1948,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),311.57
1949,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),309.69
1950,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.83
1952,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.18
1954,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),312.73
1955,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),314.71
1956,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),315.34
1957,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),315.34
1958,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),315.34
1959,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),315.97
1960,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),316.91
1961,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),317.64
1962,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),318.45
1963,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),318.99
1964,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),319.62
1965,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),320.04
1966,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),321.38
1967,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),322.16
1968,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),323.04
1969,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),324.62
1970,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),325.68
1971,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),326.32
1972,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),327.45
1973,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),329.68
1974,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),330.18
1975,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),331.11
1976,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),332.04
1977,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),333.83
1978,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),335.4
1979,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),336.84
1980,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),338.75
1981,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),340.11
1982,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),341.45
1983,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),343.05
1984,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),344.65
1985,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),346.12
1986,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),347.42
1987,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),349.19
1988,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),351.57
1989,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),353.12
1990,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),354.39
1991,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),355.61
1992,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),356.45
1993,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),357.1
1994,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),358.83
1995,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),360.82
1996,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),362.61
1997,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),363.73
1998,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),366.7
1999,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),368.38
2000,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),369.55
2001,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),371.14
2002,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),373.28
2003,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),375.8
2004,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),377.52
2005,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),379.8
2006,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),381.9
2007,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),383.79
2008,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),385.6
2009,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),387.43
2010,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),389.9
2011,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),391.65
2012,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),393.85
2013,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),396.52
2014,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),398.65
2015,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),400.83
2016,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),404.24
2017,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),406.55
2018,Carbon Dioxide Concentration,Atmospheric CO2 Concentration (ppm),408.52
1979,Average Arctice Ice Area in September,Million Square Kilometres,4.58
1980,Average Arctice Ice Area in September,Million Square Kilometres,4.87
1981,Average Arctice Ice Area in September,Million Square Kilometres,4.44
1982,Average Arctice Ice Area in September,Million Square Kilometres,4.43
1983,Average Arctice Ice Area in September,Million Square Kilometres,4.7
1984,Average Arctice Ice Area in September,Million Square Kilometres,4.11
1985,Average Arctice Ice Area in September,Million Square Kilometres,4.23
1986,Average Arctice Ice Area in September,Million Square Kilometres,4.72
1987,Average Arctice Ice Area in September,Million Square Kilometres,5.64
1988,Average Arctice Ice Area in September,Million Square Kilometres,5.36
1989,Average Arctice Ice Area in September,Million Square Kilometres,4.86
1990,Average Arctice Ice Area in September,Million Square Kilometres,4.55
1991,Average Arctice Ice Area in September,Million Square Kilometres,4.51
1992,Average Arctice Ice Area in September,Million Square Kilometres,5.43
1993,Average Arctice Ice Area in September,Million Square Kilometres,4.58
1994,Average Arctice Ice Area in September,Million Square Kilometres,5.13
1995,Average Arctice Ice Area in September,Million Square Kilometres,4.43
1996,Average Arctice Ice Area in September,Million Square Kilometres,5.62
1997,Average Arctice Ice Area in September,Million Square Kilometres,4.89
1998,Average Arctice Ice Area in September,Million Square Kilometres,4.3
1999,Average Arctice Ice Area in September,Million Square Kilometres,4.29
2000,Average Arctice Ice Area in September,Million Square Kilometres,4.35
2001,Average Arctice Ice Area in September,Million Square Kilometres,4.59
2002,Average Arctice Ice Area in September,Million Square Kilometres,4.03
2003,Average Arctice Ice Area in September,Million Square Kilometres,4.05
2004,Average Arctice Ice Area in September,Million Square Kilometres,4.39
2005,Average Arctice Ice Area in September,Million Square Kilometres,4.07
2006,Average Arctice Ice Area in September,Million Square Kilometres,4.01
2007,Average Arctice Ice Area in September,Million Square Kilometres,2.82
2008,Average Arctice Ice Area in September,Million Square Kilometres,3.26
2009,Average Arctice Ice Area in September,Million Square Kilometres,3.76
2010,Average Arctice Ice Area in September,Million Square Kilometres,3.34
2011,Average Arctice Ice Area in September,Million Square Kilometres,3.21
2012,Average Arctice Ice Area in September,Million Square Kilometres,2.41
2013,Average Arctice Ice Area in September,Million Square Kilometres,3.78
2014,Average Arctice Ice Area in September,Million Square Kilometres,3.74
2015,Average Arctice Ice Area in September,Million Square Kilometres,3.42
2016,Average Arctice Ice Area in September,Million Square Kilometres,2.91
2017,Average Arctice Ice Area in September,Million Square Kilometres,3.35
2018,Average Arctice Ice Area in September,Million Square Kilometres,3.35
2019,Average Arctice Ice Area in September,Million Square Kilometres,3.17
2020,Average Arctice Ice Area in September,Million Square Kilometres,2.78
2002,Antarctica Mass Variation,Antarctica Mass (Gigatons),-6.8
2003,Antarctica Mass Variation,Antarctica Mass (Gigatons),-115.8
2004,Antarctica Mass Variation,Antarctica Mass (Gigatons),-263.1
2005,Antarctica Mass Variation,Antarctica Mass (Gigatons),-229.2
2006,Antarctica Mass Variation,Antarctica Mass (Gigatons),-130.8
2007,Antarctica Mass Variation,Antarctica Mass (Gigatons),-317.2
2008,Antarctica Mass Variation,Antarctica Mass (Gigatons),-587.9
2009,Antarctica Mass Variation,Antarctica Mass (Gigatons),-563.1
2010,Antarctica Mass Variation,Antarctica Mass (Gigatons),-841.6
2011,Antarctica Mass Variation,Antarctica Mass (Gigatons),-940.1
2012,Antarctica Mass Variation,Antarctica Mass (Gigatons),-1074.8
2013,Antarctica Mass Variation,Antarctica Mass (Gigatons),-1285.1
2014,Antarctica Mass Variation,Antarctica Mass (Gigatons),-1495.9
2015,Antarctica Mass Variation,Antarctica Mass (Gigatons),-1847.6
2016,Antarctica Mass Variation,Antarctica Mass (Gigatons),-1769.5
2017,Antarctica Mass Variation,Antarctica Mass (Gigatons),-1803.2
2018,Antarctica Mass Variation,Antarctica Mass (Gigatons),-2148
2019,Antarctica Mass Variation,Antarctica Mass (Gigatons),-2269.3
2020,Antarctica Mass Variation,Antarctica Mass (Gigatons),-2542.4